,Open,High,Low,Close,Adj Close,Volume,Percent_Day_Change,date_UTC
2021-11-02 09:30:00-04:00,1156.599976,1208.589966,1146,1202.310059,1202.310059,20277111,3.952108246,11/2/2021 14:00
2021-11-02 10:30:00-04:00,1202.439941,1202.449951,1172.800049,1177.399902,1177.399902,5034709,-2.082435738,11/2/2021 15:00
2021-11-02 11:30:00-04:00,1177.109985,1181,1161,1162.645508,1162.645508,3998159,-1.228812746,11/2/2021 16:00
2021-11-02 12:30:00-04:00,1162.563843,1172.449951,1152.660034,1166.050171,1166.050171,3864811,0.299882724,11/2/2021 17:00
2021-11-02 13:30:00-04:00,1165.824951,1168.680054,1159.010132,1164.800049,1164.800049,1840610,-0.087912198,11/2/2021 18:00
2021-11-02 14:30:00-04:00,1164.829956,1183.879883,1160.5,1179.724976,1179.724976,3826987,1.278729093,11/2/2021 19:00
2021-11-02 15:30:00-04:00,1180,1189.259888,1166.75,1171.849976,1171.849976,3046783,-0.690680035,11/2/2021 20:00
2021-11-03 09:30:00-04:00,1183.609985,1190.199951,1170.030029,1183.329956,1183.329956,8041885,-0.023658916,11/3/2021 14:00
2021-11-03 10:30:00-04:00,1182.699951,1184.723999,1172.280151,1173.474976,1173.474976,2548236,-0.779992895,11/3/2021 15:00
2021-11-03 11:30:00-04:00,1173.319946,1173.800049,1152.619995,1170.324951,1170.324951,3836632,-0.255258178,11/3/2021 16:00
2021-11-03 12:30:00-04:00,1170.5,1183,1168,1177.339966,1177.339966,3803781,0.584362736,11/3/2021 17:00
2021-11-03 13:30:00-04:00,1177.369995,1178.5,1165.089966,1174.494995,1174.494995,2856812,-0.244188319,11/3/2021 18:00
2021-11-03 14:30:00-04:00,1174.254761,1208.489868,1171.040039,1197.949951,1197.949951,7777992,2.017891792,11/3/2021 19:00
2021-11-03 15:30:00-04:00,1197.954956,1215.390015,1195.5,1213.687988,1213.687988,3932824,1.31332419,11/3/2021 20:00
2021-11-04 09:30:00-04:00,1234.410034,1242,1224.820068,1232.696411,1232.696411,8598134,-0.138821218,11/4/2021 14:00
2021-11-04 10:30:00-04:00,1232.619995,1243.48999,1227.5,1227.5,1227.5,3846857,-0.415374985,11/4/2021 15:00
2021-11-04 11:30:00-04:00,1227.658691,1239.699951,1217,1238.780029,1238.780029,3879996,0.905898192,11/4/2021 16:00
2021-11-04 12:30:00-04:00,1239.069946,1241.389893,1231.699951,1235.469971,1235.469971,1960785,-0.290538528,11/4/2021 17:00
2021-11-04 13:30:00-04:00,1235.579956,1238.76001,1228,1235.380005,1235.380005,2038975,-0.016182779,11/4/2021 18:00
2021-11-04 14:30:00-04:00,1235.650024,1240,1227,1228.310059,1228.310059,2175368,-0.594016564,11/4/2021 19:00
2021-11-04 15:30:00-04:00,1228.5,1237.050049,1225.800049,1229.72998,1229.72998,2221688,0.10012051,11/4/2021 20:00
2021-11-05 09:30:00-04:00,1228,1238,1208,1230.949951,1230.949951,6835874,0.240224037,11/5/2021 14:00
2021-11-05 10:30:00-04:00,1231.069946,1238.929932,1228.535034,1229.219849,1229.219849,2512527,-0.150283716,11/5/2021 15:00
2021-11-05 11:30:00-04:00,1229.01001,1235.300049,1227.188354,1234.25,1234.25,1479143,0.42635863,11/5/2021 16:00
2021-11-05 12:30:00-04:00,1234.093506,1239.869995,1220,1222.97998,1222.97998,3527066,-0.900541599,11/5/2021 17:00
2021-11-05 13:30:00-04:00,1222.97998,1231.199951,1222.97998,1229.129883,1229.129883,1685170,0.502862062,11/5/2021 18:00
2021-11-05 14:30:00-04:00,1229.119995,1232.23999,1218.589966,1221.040039,1221.040039,2549845,-0.657377318,11/5/2021 19:00
2021-11-05 15:30:00-04:00,1221.050049,1225.949951,1216.959961,1221.440552,1221.440552,2435693,0.031980911,11/5/2021 20:00
2021-11-08 09:30:00-05:00,1136,1197,1135,1189.204956,1189.204956,16338270,4.683534864,11/8/2021 14:00
2021-11-08 10:30:00-05:00,1188.930054,1194,1178.550049,1188.709961,1188.709961,4594510,-0.018511835,11/8/2021 15:00
2021-11-08 11:30:00-05:00,1188.574951,1190,1181.110107,1186.5,1186.5,2091728,-0.174574701,11/8/2021 16:00
2021-11-08 12:30:00-05:00,1186.665039,1194.48999,1185.20105,1187.599976,1187.599976,1730535,0.078786894,11/8/2021 17:00
2021-11-08 13:30:00-05:00,1187.290039,1189.199951,1179.180054,1179.55957,1179.55957,2147664,-0.651101963,11/8/2021 18:00
2021-11-08 14:30:00-05:00,1179.530029,1186.099976,1179.01001,1181.857788,1181.857788,1513944,0.197346293,11/8/2021 19:00
2021-11-08 15:30:00-05:00,1181.670044,1182.329956,1160,1162.72998,1162.72998,3432062,-1.602821665,11/8/2021 20:00
2021-11-09 09:30:00-05:00,1173.599976,1174.5,1032.000122,1092.655029,1092.655029,20541403,-6.897149623,11/9/2021 14:00
2021-11-09 10:30:00-05:00,1092.650024,1104.530029,1072.620117,1075,1075,5745896,-1.615341053,11/9/2021 15:00
2021-11-09 11:30:00-05:00,1074.890015,1079.48999,1035,1049.640015,1049.640015,8760554,-2.349077548,11/9/2021 16:00
2021-11-09 12:30:00-05:00,1050,1052.589966,1023.640015,1043.839966,1043.839966,6710922,-0.586669922,11/9/2021 17:00
2021-11-09 13:30:00-05:00,1043.829956,1060.930054,1027.290039,1050.189941,1050.189941,5610352,0.609293239,11/9/2021 18:00
2021-11-09 14:30:00-05:00,1050.309937,1052.709961,1024.449951,1024.949951,1024.949951,5163438,-2.414523987,11/9/2021 19:00
2021-11-09 15:30:00-05:00,1024.780029,1031.689941,1011.52002,1023.51001,1023.51001,5229085,-0.123930941,11/9/2021 20:00
2021-11-10 09:30:00-05:00,1010.409973,1074,987.3099976,1069.157104,1069.157104,16659921,5.814187598,11/10/2021 14:00
2021-11-10 10:30:00-05:00,1069,1078.099976,1064.628052,1067.339966,1067.339966,4909510,-0.155288511,11/10/2021 15:00
2021-11-10 11:30:00-05:00,1066.849976,1071,1050.800049,1050.800049,1050.800049,2861072,-1.504422095,11/10/2021 16:00
2021-11-10 12:30:00-05:00,1051.310059,1068.25,1048,1048.32605,1048.32605,3492110,-0.283837177,11/10/2021 17:00
2021-11-10 13:30:00-05:00,1048.324951,1059.869873,1030,1030.650024,1030.650024,2830500,-1.686016033,11/10/2021 18:00
2021-11-10 14:30:00-05:00,1030.110107,1067,1012.5,1062.25,1062.25,6051992,3.120044386,11/10/2021 19:00
2021-11-10 15:30:00-05:00,1062.359985,1075.430054,1052.449951,1067.76001,1067.76001,4117217,0.508304576,11/10/2021 20:00
