,Date,Open,High,Low,Close,Adj Close,Volume,Percent_Day_Change
0,2020-11-03,409.730011,427.76998899999995,406.690002,423.89999400000005,423.89999400000005,34351700,3.4583707855366352
1,2020-11-04,430.619995,435.39999400000005,417.100006,420.98001100000005,420.98001100000005,32143100,-2.23862897959487
2,2020-11-05,428.299988,440.0,424.0,438.089996,438.089996,28414500,2.285782926522062
3,2020-11-06,436.10000599999995,436.57000700000003,424.27999900000003,429.950012,429.950012,21706000,-1.4102256169196026
4,2020-11-09,439.5,452.5,421.0,421.26000999999997,421.26000999999997,34833000,-4.1501683731513195
5,2020-11-10,420.089996,420.089996,396.02999900000003,410.359985,410.359985,30284200,-2.316172984990572
6,2020-11-11,416.450012,418.700012,410.579987,417.130005,417.130005,17357700,0.16328322257317396
7,2020-11-12,415.049988,423.0,409.519989,411.76001,411.76001,19855100,-0.7926703036068905
8,2020-11-13,410.850006,412.52999900000003,401.660004,408.5,408.5,19771100,-0.5719863613680931
9,2020-11-16,408.929993,412.450012,404.089996,408.089996,408.089996,26838600,-0.20541339945198134
10,2020-11-17,460.170013,462.0,433.01000999999997,441.60998499999994,441.60998499999994,61188300,-4.033298015009956
11,2020-11-18,448.35000599999995,496.0,443.5,486.64001500000006,486.64001500000006,78044000,8.540204859504374
12,2020-11-19,492.0,508.60998499999994,487.57000700000003,499.26998899999995,499.26998899999995,62475300,1.4776400406504075
13,2020-11-20,497.98999000000003,502.5,489.05999800000006,489.60998499999994,489.60998499999994,32911900,-1.682765751978288
14,2020-11-23,503.5,526.0,501.790009,521.849976,521.849976,50260300,3.6444838133068425
15,2020-11-24,540.400024,559.98999,526.200012,555.380005,555.380005,53648500,2.7720170863648974
16,2020-11-25,550.0599980000001,574.0,545.369995,574.0,574.0,48930200,4.352252860968808
17,2020-11-27,581.159973,598.780029,578.450012,585.76001,585.76001,37561100,0.7915268108115159
18,2020-11-30,602.210022,607.799988,554.51001,567.599976,567.599976,63003100,-5.747172038926984
19,2020-12-01,597.590027,597.849976,572.049988,584.76001,584.76001,40103500,-2.146959691480932
20,2020-12-02,556.4400019999999,571.539978,541.210022,568.820007,568.820007,47775700,2.224858916595296
21,2020-12-03,590.02002,598.969971,582.429993,593.380005,593.380005,42552000,0.5694696596905136
22,2020-12-04,591.01001,599.039978,585.5,599.039978,599.039978,29401300,1.358685616847688
23,2020-12-07,604.919983,648.789978,603.049988,641.76001,641.76001,56309700,6.0900661302835335
24,2020-12-08,625.51001,651.280029,618.5,649.880005,649.880005,64265000,3.8960199853556254
25,2020-12-09,653.6900019999999,654.320007,588.0,604.47998,604.47998,71291200,-7.5280365080449885
26,2020-12-10,574.369995,627.75,566.340027,627.070007,627.070007,67083200,9.175272465268659
27,2020-12-11,615.01001,624.0,596.799988,609.98999,609.98999,46475000,-0.8162501290019497
28,2020-12-14,619.0,642.75,610.200012,639.830017,639.830017,52040600,3.3651077544426533
29,2020-12-15,643.280029,646.900024,623.799988,633.25,633.25,45071500,-1.5592010551908508
30,2020-12-16,628.22998,632.5,605.0,622.77002,622.77002,42095800,-0.869102108116504
31,2020-12-17,628.1900019999999,658.820007,619.5,655.900024,655.900024,56270100,4.411089306066374
32,2020-12-18,668.900024,695.0,628.539978,695.0,695.0,222126200,3.9019248114124716
33,2020-12-21,666.23999,668.5,646.070007,649.8599849999999,649.8599849999999,58045300,-2.458574274414249
34,2020-12-22,648.0,649.880005,614.22998,640.340027,640.340027,51716000,-1.1820945987654374
35,2020-12-23,632.200012,651.5,622.570007,645.97998,645.97998,33173000,2.1796848684653147
36,2020-12-24,642.98999,666.090027,641.0,661.77002,661.77002,22865600,2.920734426985394
37,2020-12-28,674.51001,681.400024,660.799988,663.6900019999999,663.6900019999999,32278600,-1.6041286029246704
38,2020-12-29,661.0,669.900024,655.0,665.98999,665.98999,22910800,0.7549152798789871
39,2020-12-30,672.0,696.599976,668.3599849999999,694.780029,694.780029,42846000,3.389885267857151
40,2020-12-31,699.98999,718.719971,691.119995,705.669983,705.669983,49649900,0.8114391750087657
41,2021-01-04,719.460022,744.48999,717.1900019999999,729.77002,729.77002,48638200,1.4330188870452787
42,2021-01-05,723.659973,740.840027,719.200012,735.1099849999999,735.1099849999999,32245200,1.58223646839728
43,2021-01-06,758.48999,774.0,749.099976,755.97998,755.97998,44700000,-0.3309219677375186
44,2021-01-07,777.630005,816.98999,775.200012,816.039978,816.039978,51498900,4.939363547320941
45,2021-01-08,856.0,884.48999,838.3900150000001,880.0200199999999,880.0200199999999,75055500,2.806077102803739
46,2021-01-11,849.400024,854.429993,803.619995,811.1900019999999,811.1900019999999,59301600,-4.498471970846108
47,2021-01-12,831.0,868.0,827.340027,849.4400019999999,849.4400019999999,46270700,2.2190134777376525
48,2021-01-13,852.76001,860.4699710000001,832.0,854.409973,854.409973,33312500,0.1934850345526984
49,2021-01-14,843.3900150000001,863.0,838.75,845.0,845.0,31266300,0.19089448195566128
50,2021-01-15,852.0,859.900024,819.099976,826.159973,826.159973,38777600,-3.0328670187793394
51,2021-01-19,837.799988,850.0,833.0,844.5499880000001,844.5499880000001,25367000,0.8056815584485344
52,2021-01-20,858.73999,859.5,837.280029,850.4500119999999,850.4500119999999,25665900,-0.9653653138943841
53,2021-01-21,855.0,855.7199710000001,841.419983,844.98999,844.98999,20521100,-1.1707614035087688
54,2021-01-22,834.3099980000001,848.0,828.619995,846.6400150000001,846.6400150000001,20066500,1.4778699799304018
55,2021-01-25,855.0,900.400024,838.820007,880.7999880000001,880.7999880000001,41173400,3.017542456140365
56,2021-01-26,891.3800050000001,895.900024,871.599976,883.090027,883.090027,23131600,-0.9300161495096715
57,2021-01-27,870.349976,891.5,858.659973,864.159973,864.159973,27334000,-0.7112084989590373
58,2021-01-28,820.0,848.0,801.0,835.429993,835.429993,26378000,1.881706463414634
59,2021-01-29,830.0,842.409973,780.099976,793.530029,793.530029,34990800,-4.3939724096385575
60,2021-02-01,814.289978,842.0,795.5599980000001,839.8099980000001,839.8099980000001,25391400,3.1340211336851276
61,2021-02-02,844.679993,880.5,842.2000119999999,872.7899779999999,872.7899779999999,24346200,3.327885735775915
62,2021-02-03,877.0200199999999,878.080017,853.0599980000001,854.6900019999999,854.6900019999999,18343500,-2.5461240896188397
63,2021-02-04,855.0,856.5,833.419983,849.98999,849.98999,15812700,-0.5859660818713364
